trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.75, 'e': 0.75}",35,11,-98.5276048994314,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 1}",1
19,False,"{'a': 0.75, 'e': 0.75}",25,0,-231.599276021166,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
20,False,"{'a': 0.75, 'e': 0.75}",25,0,-120.11337251846338,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
21,False,"{'a': 0.75, 'e': 0.75}",25,0,-127.86240139903241,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.75, 'e': 0.75}",30,12,-77.4207771996718,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
23,False,"{'a': 0.75, 'e': 0.75}",30,0,-132.2442239164132,"{0: 18, 1: 5, 2: 3, 3: 3, 4: 1}",0
24,False,"{'a': 0.75, 'e': 0.75}",20,0,-21.662106040408872,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
25,False,"{'a': 0.75, 'e': 0.75}",25,0,-29.132660584975426,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.75}",20,0,-53.26257111075317,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.75, 'e': 0.75}",20,0,-12.045705674774709,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.75, 'e': 0.75}",35,0,-61.816040852426546,"{0: 26, 1: 1, 2: 7, 3: 1, 4: 0}",0
29,False,"{'a': 0.75, 'e': 0.75}",35,0,-24.81541204126854,"{0: 29, 1: 2, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.75, 'e': 0.75}",35,0,-216.63659019442716,"{0: 23, 1: 2, 2: 5, 3: 1, 4: 4}",0
31,False,"{'a': 0.75, 'e': 0.75}",20,0,-60.17709893436163,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.75, 'e': 0.75}",20,0,-79.5607851195175,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.75, 'e': 0.75}",25,0,-109.07893637436779,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
34,False,"{'a': 0.75, 'e': 0.75}",20,9,-26.47222090709347,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.75, 'e': 0.75}",20,0,-81.0882857744718,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.75, 'e': 0.75}",25,0,-160.34236737670906,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
37,False,"{'a': 0.75, 'e': 0.75}",20,0,-127.35955064801027,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",1
38,False,"{'a': 0.75, 'e': 0.75}",20,0,-97.60704278966254,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
39,False,"{'a': 0.75, 'e': 0.75}",25,1,-193.61069382003927,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 2}",1
40,False,"{'a': 0.75, 'e': 0.75}",20,0,-48.11129199322086,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
41,False,"{'a': 0.75, 'e': 0.75}",20,0,-59.60922988732961,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
42,False,"{'a': 0.75, 'e': 0.75}",20,0,-20.370898283604177,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
43,False,"{'a': 0.75, 'e': 0.75}",20,0,-47.09997664994357,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.75, 'e': 0.75}",25,0,-90.27515286876026,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.75, 'e': 0.75}",35,5,-190.62625982525788,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",1
46,False,"{'a': 0.75, 'e': 0.75}",25,0,-53.18766108784771,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
47,False,"{'a': 0.75, 'e': 0.75}",25,0,-86.51689562458418,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
48,False,"{'a': 0.75, 'e': 0.75}",25,5,-84.42984967699157,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
49,False,"{'a': 0.75, 'e': 0.75}",25,0,-65.890480390268,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.75, 'e': 0.75}",35,0,-224.0993984948094,"{0: 20, 1: 6, 2: 2, 3: 4, 4: 3}",0
51,False,"{'a': 0.75, 'e': 0.6209169618966012}",20,4,-68.7045771119591,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
52,False,"{'a': 0.75, 'e': 0.6097235715364788}",20,0,-201.30540166840862,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
53,False,"{'a': 0.75, 'e': 0.5985502864941106}",25,0,-53.15004497634378,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
54,False,"{'a': 0.75, 'e': 0.5874066558671737}",30,0,-38.208551744596555,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.75, 'e': 0.576301866119145}",20,0,-131.50938364118198,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
56,False,"{'a': 0.75, 'e': 0.5652447304421151}",30,18,20.546247154594734,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.75, 'e': 0.5542436803534064}",20,0,-146.52869281419373,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 4}",0
58,False,"{'a': 0.75, 'e': 0.5433067594052402}",25,19,4.06705274772138,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.75, 'e': 0.5324416188825509}",20,13,10.80852910345312,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.75, 'e': 0.5216555153613871}",20,0,30.451639302070774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.75, 'e': 0.5109553099990202}",30,10,-32.05000898603235,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.75, 'e': 0.5003474694267789}",20,15,-29.368591892874807,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.75, 'e': 0.489838068117584}",30,0,-90.04275701408542,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.75, 'e': 0.4794327921020546}",20,13,-35.49451268437892,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.75, 'e': 0.46913694390976357}",30,4,-74.42771988130875,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 1}",1
66,False,"{'a': 0.75, 'e': 0.4589554486156192}",20,0,-1.8408705337345777,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.75, 'e': 0.4488928608753232}",20,11,-13.360389900690167,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.75, 'e': 0.43895337283831337}",30,9,-18.899601108694974,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.75, 'e': 0.42914082283142985}",25,3,18.300861966312617,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.75, 'e': 0.4194587047116728}",20,15,-1.5234874961034386,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.75, 'e': 0.409910177791759}",25,11,0.7682283737042068,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.75, 'e': 0.40049807724766884}",25,3,-67.6723644479908,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
73,False,"{'a': 0.75, 'e': 0.39122492492293715}",30,7,-20.269093029490165,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 0}",1
74,False,"{'a': 0.75, 'e': 0.3820929404500222}",20,0,-16.077940432777282,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
75,False,"{'a': 0.75, 'e': 0.3731040526146483}",25,0,-75.19407795938028,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
76,False,"{'a': 0.75, 'e': 0.3642599108944985}",30,8,-16.4202678386815,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.75, 'e': 0.35556189710901565}",20,11,-7.83600314645526,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.75, 'e': 0.34701113712231024}",20,6,-9.565357180062025,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
79,False,"{'a': 0.75, 'e': 0.338608512546249}",30,19,-53.411816723162254,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
80,False,"{'a': 0.75, 'e': 0.33035467239569305}",20,0,-2.2711843840220314,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
81,False,"{'a': 0.75, 'e': 0.32225004465254103}",25,11,14.915069522822225,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.75, 'e': 0.31429484769971383}",20,16,6.431579851281497,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
